name;icon
Aire acondicionado;air
Estacionamiento gratuito;car
Check in;check
Tarjeta de crédito;creditcard
Pileta;pileta
Cocina;kitchen
Prohibido hacer fiestas;noParty
Se aceptan mascotas;pet
Prohibido fumar;smockingOff
Televisión;tv
WIFI;wifi
